review_description,rating,Year,Month,Day,review_descriptiont,content_token,sentiment,stemmed,text_string
metode pembayaran ya aja harus ditambah,5,2018,2,13,metode pembayaran ya aja harus ditambah,"['metode', 'pembayaran', 'ya', 'aja', 'ditambah']",1,"['metode', 'bayar', 'ya', 'aja', 'tambah']",metode bayar tambah
maju terus bareksaaaaa..mantab,5,2018,2,14,maju terus bareksaaaaa..mantab,"['maju', 'bareksaaaaa', 'mantab']",1,"['maju', 'bareksaaaaa', 'mantab']",maju bareksaaaaa mantab
akhir nya gua ga perlu bulak balik web mantap dah,5,2018,2,14,akhir nya gua ga perlu bulak balik web mantap dah,"['nya', 'gua', 'ga', 'bulak', 'web', 'mantap', 'dah']",1,"['nya', 'gua', 'ga', 'bulak', 'web', 'mantap', 'dah']",bulak mantap
saatnya menabung kekinian,5,2018,2,14,saatnya menabung kekinian,"['menabung', 'kekinian']",1,"['tabung', 'kini']",tabung kini
ko ga bisa log in ya. padahal udah aktif akunnya,2,2018,2,14,ko ga bisa log in ya. padahal udah aktif akunnya,"['ko', 'ga', 'log', 'in', 'ya', 'udah', 'aktif', 'akunnya']",-1,"['ko', 'ga', 'log', 'in', 'ya', 'udah', 'aktif', 'akun']",udah aktif akun
akhirnya yg ditunggu ada juga versi android... tp kenapa login awal ga bisa ya padahal akun aktif,5,2018,2,14,akhirnya yg ditunggu ada juga versi android... tp kenapa login awal ga bisa ya padahal akun aktif,"['yg', 'ditunggu', 'versi', 'android', 'tp', 'login', 'ga', 'ya', 'akun', 'aktif']",1,"['yg', 'tunggu', 'versi', 'android', 'tp', 'login', 'ga', 'ya', 'akun', 'aktif']",tunggu versi android login akun aktif
"akhirnya, saranku atau saran orang lain di kabulkan oleh bareksa.",5,2018,2,14,"akhirnya, saranku atau saran orang lain di kabulkan oleh bareksa.","['saranku', 'saran', 'orang', 'kabulkan']",1,"['saran', 'saran', 'orang', 'kabul']",saran saran orang kabul
"saya senang sekali gunakan aplikasi ini,sukses login.",5,2018,2,14,"saya senang sekali gunakan aplikasi ini,sukses login.","['senang', 'aplikasi', 'sukses', 'login']",1,"['senang', 'aplikasi', 'sukses', 'login']",senang aplikasi sukses login
selamat dan sukses buat aplikasi bareksa 👍,5,2018,2,14,selamat dan sukses buat aplikasi bareksa 👍,"['selamat', 'sukses', 'aplikasi']",1,"['selamat', 'sukses', 'aplikasi']",selamat sukses aplikasi
setelah lama di nanti nanti,5,2018,2,14,setelah lama di nanti nanti,[],1,[],
aplikasinya keren😁😁😁,5,2018,2,14,aplikasinya keren😁😁😁,"['aplikasinya', 'keren']",1,"['aplikasi', 'keren']",aplikasi keren
akhirnya ...,5,2018,2,14,akhirnya ...,[],1,[],
"ini kenapa ya? sy mau daftar baru, begitu udah selesai isi data2nya gabisa tekan lanjutkan..  padahal semua data udah sy isi..",3,2018,2,14,"ini kenapa ya? sy mau daftar baru, begitu udah selesai isi data2nya gabisa tekan lanjutkan..  padahal semua data udah sy isi..","['ya', 'sy', 'daftar', 'udah', 'selesai', 'isi', 'data2nya', 'gabisa', 'tekan', 'lanjutkan', 'data', 'udah', 'sy', 'isi']",0,"['ya', 'sy', 'daftar', 'udah', 'selesai', 'isi', 'data2nya', 'gabisa', 'tekan', 'lanjut', 'data', 'udah', 'sy', 'isi']",daftar udah selesai data2nya gabisa tekan lanjut data udah
"ini aplikasi yang saya tunggu².. tapi ada beberapa hal yang kurang, dan mungkin bisa di tambahkan.. 1. waktu pembelian, no order dan rek bank bisa di copy 2. waktu upload bukti transfer harus nya di arahkan ke galery bukan ke kamera.. itu saja si pengalaman pertama menggunakan aplikasi ini, selebihnya bagus..",5,2018,2,14,"ini aplikasi yang saya tunggu².. tapi ada beberapa hal yang kurang, dan mungkin bisa di tambahkan.. 1. waktu pembelian, no order dan rek bank bisa di copy 2. waktu upload bukti transfer harus nya di arahkan ke galery bukan ke kamera.. itu saja si pengalaman pertama menggunakan aplikasi ini, selebihnya bagus..","['aplikasi', 'tunggu²', 'tambahkan', '1', 'pembelian', 'no', 'order', 'rek', 'bank', 'copy', '2', 'upload', 'bukti', 'transfer', 'nya', 'arahkan', 'galery', 'kamera', 'si', 'pengalaman', 'aplikasi', 'selebihnya', 'bagus']",1,"['aplikasi', 'tunggu', 'tambah', '1', 'beli', 'no', 'order', 'rek', 'bank', 'copy', '2', 'upload', 'bukti', 'transfer', 'nya', 'arah', 'galery', 'kamera', 'si', 'alam', 'aplikasi', 'lebih', 'bagus']",aplikasi tunggu tambah beli order bank copy upload bukti transfer arah galery kamera alam aplikasi lebih bagus
akhirnya nongol juga aplikasinya di play store. maju terus bareksa..,4,2018,2,14,akhirnya nongol juga aplikasinya di play store. maju terus bareksa..,"['nongol', 'aplikasinya', 'play', 'store', 'maju']",1,"['nongol', 'aplikasi', 'play', 'store', 'maju']",nongol aplikasi play store maju
kalau ditambahkan widget untuk monitor/portfolio sepertinya lebih oke,4,2018,2,15,kalau ditambahkan widget untuk monitor/portfolio sepertinya lebih oke,"['widget', 'monitor', 'portfolio', 'oke']",1,"['widget', 'monitor', 'portfolio', 'oke']",widget monitor portfolio
aplikasi yg sangat membantu sy krn tdk usah repot2 lg hrs membuka lewat browser,5,2018,2,15,aplikasi yg sangat membantu sy krn tdk usah repot2 lg hrs membuka lewat browser,"['aplikasi', 'yg', 'membantu', 'sy', 'krn', 'tdk', 'repot2', 'lg', 'hrs', 'membuka', 'browser']",1,"['aplikasi', 'yg', 'bantu', 'sy', 'krn', 'tdk', 'repot2', 'lg', 'hrs', 'buka', 'browser']",aplikasi bantu repot2 buka browser
mantap,5,2018,2,15,mantap,['mantap'],1,['mantap'],mantap
dari desember sampai sekarang akun masih verifikasi.admin tolong dijawab.saya kan yang ngasih modal bukan meminjam.,3,2018,2,15,dari desember sampai sekarang akun masih verifikasi.admin tolong dijawab.saya kan yang ngasih modal bukan meminjam.,"['desember', 'akun', 'verifikasi', 'admin', 'tolong', 'ngasih', 'modal', 'meminjam']",0,"['desember', 'akun', 'verifikasi', 'admin', 'tolong', 'ngasih', 'modal', 'pinjam']",desember akun verifikasi admin tolong ngasih modal pinjam
"selamat untuk bareksa atas lahirnya aplikasi ini, cukup membantu para investor di bareksa untuk memantau portofolio nya tanpa harus open via web.
ada perlu sedikit perbaikan, 
1. untuk tetap menyertakan informasi fee subsc dan fee sell dari masing2 produk rekasadana, saya tdk menemukan hal ini ketika membuka page dari suatu produk reksadana.
2. agar ditampilkan juga indeks ihsg secara real time, sebagai acuan investor untuk subs/sell reksadana yg dimiliki",3,2018,2,15,"selamat untuk bareksa atas lahirnya aplikasi ini, cukup membantu para investor di bareksa untuk memantau portofolio nya tanpa harus open via web.
ada perlu sedikit perbaikan, 
1. untuk tetap menyertakan informasi fee subsc dan fee sell dari masing2 produk rekasadana, saya tdk menemukan hal ini ketika membuka page dari suatu produk reksadana.
2. agar ditampilkan juga indeks ihsg secara real time, sebagai acuan investor untuk subs/sell reksadana yg dimiliki","['selamat', 'lahirnya', 'aplikasi', 'membantu', 'investor', 'memantau', 'portofolio', 'nya', 'open', 'via', 'web', 'perbaikan', '1', 'menyertakan', 'informasi', 'fee', 'subsc', 'fee', 'sell', 'masing2', 'produk', 'rekasadana', 'tdk', 'menemukan', 'membuka', 'page', 'produk', 'reksadana', '2', 'ditampilkan', 'indeks', 'ihsg', 'real', 'time', 'acuan', 'investor', 'subs', 'sell', 'reksadana', 'yg', 'dimiliki']",0,"['selamat', 'lahir', 'aplikasi', 'bantu', 'investor', 'pantau', 'portofolio', 'nya', 'open', 'via', 'web', 'baik', '1', 'serta', 'informasi', 'fee', 'subsc', 'fee', 'sell', 'masing2', 'produk', 'rekasadana', 'tdk', 'temu', 'buka', 'page', 'produk', 'reksadana', '2', 'tampil', 'indeks', 'ihsg', 'real', 'time', 'acu', 'investor', 'subs', 'sell', 'reksadana', 'yg', 'milik']",selamat lahir aplikasi bantu investor pantau portofolio open baik serta informasi subsc sell masing2 produk rekasadana temu buka page produk reksadana tampil indeks ihsg real time investor subs sell reksadana milik
mantab semakin top bareksa,5,2018,2,15,mantab semakin top bareksa,"['mantab', 'top']",1,"['mantab', 'top']",mantab
semoga tetap terjaga keamananny,5,2018,2,16,semoga tetap terjaga keamananny,"['semoga', 'terjaga', 'keamananny']",1,"['moga', 'jaga', 'keamananny']",moga jaga keamananny
akhirnya rilis jg saya kasih bintang 3 dulu kl memuaskan saya tambahin,3,2018,2,16,akhirnya rilis jg saya kasih bintang 3 dulu kl memuaskan saya tambahin,"['rilis', 'jg', 'kasih', 'bintang', '3', 'kl', 'memuaskan', 'tambahin']",0,"['rilis', 'jg', 'kasih', 'bintang', '3', 'kl', 'muas', 'tambahin']",rilis kasih bintang muas tambahin
jumlah pembelian 100.000 tapi jumlah pembayaran 1.000.000 (tidak sama) mohon demi kelancaran dan kenyamanan harap diperbaiki,3,2018,2,17,jumlah pembelian 100.000 tapi jumlah pembayaran 1.000.000 (tidak sama) mohon demi kelancaran dan kenyamanan harap diperbaiki,"['pembelian', '100', '000', 'pembayaran', '1', '000', '000', 'mohon', 'kelancaran', 'kenyamanan', 'harap', 'diperbaiki']",0,"['beli', '100', '000', 'bayar', '1', '000', '000', 'mohon', 'lancar', 'nyaman', 'harap', 'baik']",beli bayar mohon lancar nyaman harap baik
kak kok blm bisa di gunakan y akunnya padahal udah 2 hari belum di konfrim,5,2018,2,18,kak kok blm bisa di gunakan y akunnya padahal udah 2 hari belum di konfrim,"['kak', 'blm', 'y', 'akunnya', 'udah', '2', 'konfrim']",1,"['kak', 'blm', 'y', 'akun', 'udah', '2', 'konfrim']",akun udah konfrim
aplikasi yg sgt ditunggu2 tetapi kenapa tdk bs login sehingga sy cm bs buka akun di web. aplikasi ini cm bisa cek harga dan pergerakannya.,3,2018,2,18,aplikasi yg sgt ditunggu2 tetapi kenapa tdk bs login sehingga sy cm bs buka akun di web. aplikasi ini cm bisa cek harga dan pergerakannya.,"['aplikasi', 'yg', 'sgt', 'ditunggu2', 'tdk', 'bs', 'login', 'sy', 'cm', 'bs', 'buka', 'akun', 'web', 'aplikasi', 'cm', 'cek', 'harga', 'pergerakannya']",0,"['aplikasi', 'yg', 'sgt', 'ditunggu2', 'tdk', 'bs', 'login', 'sy', 'cm', 'bs', 'buka', 'akun', 'web', 'aplikasi', 'cm', 'cek', 'harga', 'gera']",aplikasi ditunggu2 login buka akun aplikasi harga gera
aplikasi yg ditunggu.. ok,5,2018,2,18,aplikasi yg ditunggu.. ok,"['aplikasi', 'yg', 'ditunggu', 'ok']",1,"['aplikasi', 'yg', 'tunggu', 'ok']",aplikasi tunggu
mendukung app lebih baik,5,2018,2,19,mendukung app lebih baik,"['mendukung', 'app']",1,"['dukung', 'app']",dukung
"udah daftar beberapa hari tapi gak bisa log in, trus klo mw ganti emailx gimana ya?",2,2018,2,20,"udah daftar beberapa hari tapi gak bisa log in, trus klo mw ganti emailx gimana ya?","['udah', 'daftar', 'gak', 'log', 'in', 'trus', 'klo', 'mw', 'ganti', 'emailx', 'gimana', 'ya']",-1,"['udah', 'daftar', 'gak', 'log', 'in', 'trus', 'klo', 'mw', 'ganti', 'emailx', 'gimana', 'ya']",udah daftar trus ganti emailx gimana
aplikasi yang bagus. mungkin perlu di tambahkan pemilihan bukti transfer agar ada pilihan ambil dr galeri.,5,2018,2,20,aplikasi yang bagus. mungkin perlu di tambahkan pemilihan bukti transfer agar ada pilihan ambil dr galeri.,"['aplikasi', 'bagus', 'tambahkan', 'pemilihan', 'bukti', 'transfer', 'pilihan', 'ambil', 'dr', 'galeri']",1,"['aplikasi', 'bagus', 'tambah', 'pilih', 'bukti', 'transfer', 'pilih', 'ambil', 'dr', 'galeri']",aplikasi bagus tambah pilih bukti transfer pilih ambil galeri
"sangat bagus semoga lebih bagus lagi kualitas aplikasinya, karena bareksa saya sudah mulai mengerti investasi yang mudah dan cocok untuk anak muda",5,2018,2,20,"sangat bagus semoga lebih bagus lagi kualitas aplikasinya, karena bareksa saya sudah mulai mengerti investasi yang mudah dan cocok untuk anak muda","['bagus', 'semoga', 'bagus', 'kualitas', 'aplikasinya', 'mengerti', 'investasi', 'mudah', 'cocok', 'anak', 'muda']",1,"['bagus', 'moga', 'bagus', 'kualitas', 'aplikasi', 'erti', 'investasi', 'mudah', 'cocok', 'anak', 'muda']",bagus moga bagus kualitas aplikasi erti investasi mudah cocok anak muda
"aplikasi sudah bagus, namun sy cb pembelian kok minimal 1 juta ya? nyoba dibawahnya tdk bisa",4,2018,2,20,"aplikasi sudah bagus, namun sy cb pembelian kok minimal 1 juta ya? nyoba dibawahnya tdk bisa","['aplikasi', 'bagus', 'sy', 'cb', 'pembelian', 'minimal', '1', 'juta', 'ya', 'nyoba', 'dibawahnya', 'tdk']",1,"['aplikasi', 'bagus', 'sy', 'cb', 'beli', 'minimal', '1', 'juta', 'ya', 'nyoba', 'bawah', 'tdk']",aplikasi bagus beli minimal juta nyoba bawah
terimakasih bareksa karena telah membuat saya berhenti boros dan mulai untuk berinvestasi.,5,2018,2,20,terimakasih bareksa karena telah membuat saya berhenti boros dan mulai untuk berinvestasi.,"['terimakasih', 'berhenti', 'boros', 'berinvestasi']",1,"['terimakasih', 'henti', 'boros', 'investasi']",terimakasih henti boros investasi
"mengapa ketika saya ingin top up diatas biaya minimal, malah keluar notifikasi tidak bisa dibawah minimal mohon diperbaiki bugs nya",5,2018,2,21,"mengapa ketika saya ingin top up diatas biaya minimal, malah keluar notifikasi tidak bisa dibawah minimal mohon diperbaiki bugs nya","['top', 'up', 'diatas', 'biaya', 'minimal', 'notifikasi', 'dibawah', 'minimal', 'mohon', 'diperbaiki', 'bugs', 'nya']",1,"['top', 'up', 'atas', 'biaya', 'minimal', 'notifikasi', 'bawah', 'minimal', 'mohon', 'baik', 'bugs', 'nya']",atas biaya minimal notifikasi bawah minimal mohon baik bugs
mungkin dipermudah fitur ambil uangnya dan cepat update data keuangannya trims,5,2018,2,21,mungkin dipermudah fitur ambil uangnya dan cepat update data keuangannya trims,"['dipermudah', 'fitur', 'ambil', 'uangnya', 'cepat', 'update', 'data', 'keuangannya', 'trims']",1,"['mudah', 'fitur', 'ambil', 'uang', 'cepat', 'update', 'data', 'uang', 'trims']",mudah fitur ambil uang cepat update data uang trims
kenapa ya pas mau beli ada tulisan klo nominal dibawah harga minimum. padahal enggk kok,5,2018,2,21,kenapa ya pas mau beli ada tulisan klo nominal dibawah harga minimum. padahal enggk kok,"['ya', 'pas', 'beli', 'tulisan', 'klo', 'nominal', 'dibawah', 'harga', 'minimum', 'enggk']",1,"['ya', 'pas', 'beli', 'tulis', 'klo', 'nominal', 'bawah', 'harga', 'minimum', 'enggk']",beli tulis nominal bawah harga minimum enggk
"sejauh ini sangat smooth dipake, tampilan simpel mudah difahami juga eye-catching 👌
tapi form konfirmasinya gak bisa akses ke gallery, cuma bisa lewat direct shooting photo. so, yg pake i-bank susah upload screenshots. next update tolong upgrade fitur ini, biar mudah topup. thank you",4,2018,2,22,"sejauh ini sangat smooth dipake, tampilan simpel mudah difahami juga eye-catching 👌
tapi form konfirmasinya gak bisa akses ke gallery, cuma bisa lewat direct shooting photo. so, yg pake i-bank susah upload screenshots. next update tolong upgrade fitur ini, biar mudah topup. thank you","['smooth', 'dipake', 'tampilan', 'simpel', 'mudah', 'difahami', 'eye', 'catching', 'form', 'konfirmasinya', 'gak', 'akses', 'gallery', 'direct', 'shooting', 'photo', 'so', 'yg', 'pake', 'i', 'bank', 'susah', 'upload', 'screenshots', 'next', 'update', 'tolong', 'upgrade', 'fitur', 'biar', 'mudah', 'topup', 'thank', 'you']",1,"['smooth', 'dipake', 'tampil', 'simpel', 'mudah', 'difahami', 'eye', 'catching', 'form', 'konfirmasi', 'gak', 'akses', 'gallery', 'direct', 'shooting', 'photo', 'so', 'yg', 'pake', 'i', 'bank', 'susah', 'upload', 'screenshots', 'next', 'update', 'tolong', 'upgrade', 'fitur', 'biar', 'mudah', 'topup', 'thank', 'you']",smooth dipake tampil simpel mudah difahami catching form konfirmasi akses gallery direct shooting photo pake bank susah upload screenshots next update tolong upgrade fitur biar mudah topup thank
akan lebih baik apabila bisa upload bukti transfer dari gallery foto bukan dari kamera saja. karna beberapa orang ada yg screen shot m banking.,4,2018,2,22,akan lebih baik apabila bisa upload bukti transfer dari gallery foto bukan dari kamera saja. karna beberapa orang ada yg screen shot m banking.,"['upload', 'bukti', 'transfer', 'gallery', 'foto', 'kamera', 'karna', 'orang', 'yg', 'screen', 'shot', 'm', 'banking']",1,"['upload', 'bukti', 'transfer', 'gallery', 'foto', 'kamera', 'karna', 'orang', 'yg', 'screen', 'shot', 'm', 'banking']",upload bukti transfer gallery foto kamera karna orang screen shot banking
masalah saat akan melakukan penjualan reksa dana. ujung2nya harus buka lewat website deh.... semoga kedepannya diperbaiki,3,2018,2,23,masalah saat akan melakukan penjualan reksa dana. ujung2nya harus buka lewat website deh.... semoga kedepannya diperbaiki,"['penjualan', 'reksa', 'dana', 'ujung2nya', 'buka', 'website', 'deh', 'semoga', 'kedepannya', 'diperbaiki']",0,"['jual', 'reksa', 'dana', 'ujung2nya', 'buka', 'website', 'deh', 'moga', 'depan', 'baik']",jual reksa dana ujung2nya buka website moga depan baik
"dear tim, tambakan fitur e-cash di aplikasinya.. supaya mudah untuk transaksi. thx",4,2018,2,24,"dear tim, tambakan fitur e-cash di aplikasinya.. supaya mudah untuk transaksi. thx","['dear', 'tim', 'tambakan', 'fitur', 'e', 'cash', 'aplikasinya', 'mudah', 'transaksi', 'thx']",1,"['dear', 'tim', 'tambakan', 'fitur', 'e', 'cash', 'aplikasi', 'mudah', 'transaksi', 'thx']",dear tambakan fitur cash aplikasi mudah transaksi
kode verifikasi salah? jadi pake kode yang mana kalo kode yang di kirim bareksa salah? aplikasi error nanti uangku juga lenyap,1,2018,2,24,kode verifikasi salah? jadi pake kode yang mana kalo kode yang di kirim bareksa salah? aplikasi error nanti uangku juga lenyap,"['kode', 'verifikasi', 'salah', 'pake', 'kode', 'kalo', 'kode', 'kirim', 'salah', 'aplikasi', 'error', 'uangku', 'lenyap']",-1,"['kode', 'verifikasi', 'salah', 'pake', 'kode', 'kalo', 'kode', 'kirim', 'salah', 'aplikasi', 'error', 'uang', 'lenyap']",kode verifikasi salah pake kode kalo kode kirim salah aplikasi error uang lenyap
appnya berlu diperbaiki saat mau beli bertuliskan nominal dibawah harga minimum,5,2018,2,24,appnya berlu diperbaiki saat mau beli bertuliskan nominal dibawah harga minimum,"['appnya', 'berlu', 'diperbaiki', 'beli', 'bertuliskan', 'nominal', 'dibawah', 'harga', 'minimum']",1,"['appnya', 'berlu', 'baik', 'beli', 'tulis', 'nominal', 'bawah', 'harga', 'minimum']",appnya berlu baik beli tulis nominal bawah harga minimum
"yeee..ada aplikasinya.. jadi gampang.. cuma perlu perbaikan di minimum pembelian, sya masih tidak bisa transaksi padahal belinya sudah diatas 100rb, jadi sya masih menggunakan web.. lalu perbaiki di upload bukti pembayaran, masih tidak bisa upload melalui galeri..terima kasih.. semoga semakin baik.",5,2018,2,25,"yeee..ada aplikasinya.. jadi gampang.. cuma perlu perbaikan di minimum pembelian, sya masih tidak bisa transaksi padahal belinya sudah diatas 100rb, jadi sya masih menggunakan web.. lalu perbaiki di upload bukti pembayaran, masih tidak bisa upload melalui galeri..terima kasih.. semoga semakin baik.","['yeee', 'aplikasinya', 'gampang', 'perbaikan', 'minimum', 'pembelian', 'sya', 'transaksi', 'belinya', 'diatas', '100rb', 'sya', 'web', 'perbaiki', 'upload', 'bukti', 'pembayaran', 'upload', 'galeri', 'terima', 'kasih', 'semoga']",1,"['yeee', 'aplikasi', 'gampang', 'baik', 'minimum', 'beli', 'sya', 'transaksi', 'beli', 'atas', '100rb', 'sya', 'web', 'baik', 'upload', 'bukti', 'bayar', 'upload', 'galeri', 'terima', 'kasih', 'moga']",yeee aplikasi gampang baik minimum beli transaksi beli atas 100rb baik upload bukti bayar upload galeri terima kasih moga
mengapa simulasi nya malah rugi dan berubah2?saya masukkan dana awal 3 juta dan tambahan 1 juta tiap bulan nya selama 5 tahun simulasi nya cuma 18 juta,3,2018,2,25,mengapa simulasi nya malah rugi dan berubah2?saya masukkan dana awal 3 juta dan tambahan 1 juta tiap bulan nya selama 5 tahun simulasi nya cuma 18 juta,"['simulasi', 'nya', 'rugi', 'berubah2', 'masukkan', 'dana', '3', 'juta', 'tambahan', '1', 'juta', 'nya', '5', 'simulasi', 'nya', '18', 'juta']",0,"['simulasi', 'nya', 'rugi', 'berubah2', 'masuk', 'dana', '3', 'juta', 'tambah', '1', 'juta', 'nya', '5', 'simulasi', 'nya', '18', 'juta']",simulasi rugi berubah2 masuk dana juta tambah juta simulasi juta
eror min,2,2018,2,26,eror min,"['eror', 'min']",-1,"['eror', 'min']",eror
"mohon ditambah fitur, wishlist atau favorite selayaknya marketplace. thanks",5,2018,2,26,"mohon ditambah fitur, wishlist atau favorite selayaknya marketplace. thanks","['mohon', 'ditambah', 'fitur', 'wishlist', 'favorite', 'selayaknya', 'marketplace', 'thanks']",1,"['mohon', 'tambah', 'fitur', 'wishlist', 'favorite', 'layak', 'marketplace', 'thanks']",mohon tambah fitur wishlist favorite layak marketplace thanks
"pada saat top up atau beli pada nilai idr yg dimasukkan selalu gagal dengan komen dibawah nilai minimum padahal angkanya jauh diatas 100k .. why ?, akhirnya tetap top up lewat website aj",3,2018,2,26,"pada saat top up atau beli pada nilai idr yg dimasukkan selalu gagal dengan komen dibawah nilai minimum padahal angkanya jauh diatas 100k .. why ?, akhirnya tetap top up lewat website aj","['top', 'up', 'beli', 'nilai', 'idr', 'yg', 'dimasukkan', 'gagal', 'komen', 'dibawah', 'nilai', 'minimum', 'angkanya', 'diatas', '100k', 'why', 'top', 'up', 'website', 'aj']",0,"['top', 'up', 'beli', 'nilai', 'idr', 'yg', 'masuk', 'gagal', 'komen', 'bawah', 'nilai', 'minimum', 'angka', 'atas', '100k', 'why', 'top', 'up', 'website', 'aj']",beli nilai masuk gagal komen bawah nilai minimum angka atas 100k website
"mantap... kalo bisa tambah password untuk bisa mengakses aplikasi nya, agar tidak bisa di buka orang",5,2018,2,27,"mantap... kalo bisa tambah password untuk bisa mengakses aplikasi nya, agar tidak bisa di buka orang","['mantap', 'kalo', 'password', 'mengakses', 'aplikasi', 'nya', 'buka', 'orang']",1,"['mantap', 'kalo', 'password', 'akses', 'aplikasi', 'nya', 'buka', 'orang']",mantap kalo password akses aplikasi buka orang
"setelah update kok malah tidak bisa lihat portofolio transaksi dll muncul pesan terputus dengan server, mohon diperbaiki kembali",3,2018,2,27,"setelah update kok malah tidak bisa lihat portofolio transaksi dll muncul pesan terputus dengan server, mohon diperbaiki kembali","['update', 'lihat', 'portofolio', 'transaksi', 'dll', 'muncul', 'pesan', 'terputus', 'server', 'mohon', 'diperbaiki']",0,"['update', 'lihat', 'portofolio', 'transaksi', 'dll', 'muncul', 'pesan', 'putus', 'server', 'mohon', 'baik']",update lihat portofolio transaksi muncul pesan putus server mohon baik
"setelah update versi terbaru , tidak dapat melakukan sortir pada menu produk",3,2018,2,27,"setelah update versi terbaru , tidak dapat melakukan sortir pada menu produk","['update', 'versi', 'terbaru', 'sortir', 'menu', 'produk']",0,"['update', 'versi', 'baru', 'sortir', 'menu', 'produk']",update versi baru sortir menu produk
"baru memulai di tulis nominal pembelian minimal 100.000, tp setiap mau transaksi selalu bilang nominal kurang dr minimum,  nomor whatsapp setiap di wa gak pernah di bales..",1,2018,2,27,"baru memulai di tulis nominal pembelian minimal 100.000, tp setiap mau transaksi selalu bilang nominal kurang dr minimum,  nomor whatsapp setiap di wa gak pernah di bales..","['tulis', 'nominal', 'pembelian', 'minimal', '100', '000', 'tp', 'transaksi', 'bilang', 'nominal', 'dr', 'minimum', 'nomor', 'whatsapp', 'wa', 'gak', 'bales']",-1,"['tulis', 'nominal', 'beli', 'minimal', '100', '000', 'tp', 'transaksi', 'bilang', 'nominal', 'dr', 'minimum', 'nomor', 'whatsapp', 'wa', 'gak', 'bales']",tulis nominal beli minimal transaksi bilang nominal minimum nomor whatsapp bales
"bagus, semoga lbh ditingkatkan lagi",5,2018,2,27,"bagus, semoga lbh ditingkatkan lagi","['bagus', 'semoga', 'lbh', 'ditingkatkan']",1,"['bagus', 'moga', 'lbh', 'tingkat']",bagus moga tingkat
masih belajar 😊,5,2018,2,28,masih belajar 😊,['belajar'],1,['ajar'],ajar
mau tanya min misalnya saya mau invest disibi trys transfernya ke rekening apa?,4,2018,2,28,mau tanya min misalnya saya mau invest disibi trys transfernya ke rekening apa?,"['min', 'invest', 'disibi', 'trys', 'transfernya', 'rekening']",1,"['min', 'invest', 'disibi', 'trys', 'transfer', 'rekening']",invest disibi trys transfer rekening
tambahkan opsi pembayaran mandiri e-cash di aplikasi mobile seperti yg terdapat di website..nanti saya tambah bintang..,4,2018,3,1,tambahkan opsi pembayaran mandiri e-cash di aplikasi mobile seperti yg terdapat di website..nanti saya tambah bintang..,"['tambahkan', 'opsi', 'pembayaran', 'mandiri', 'e', 'cash', 'aplikasi', 'mobile', 'yg', 'website', 'bintang']",1,"['tambah', 'opsi', 'bayar', 'mandiri', 'e', 'cash', 'aplikasi', 'mobile', 'yg', 'website', 'bintang']",tambah opsi bayar mandiri cash aplikasi mobile website bintang
